,Listing,Price,Address,Link,Floor_space_m²,Number_bedrooms,Area
48,4 Bed House in Oranjezicht,12500000, 45 belvedere avenue,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/45-belvedere-avenue/T3480376,964,4, Oranjezicht
49,Studio Apartment in Oranjezicht,1250000, mill street,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/mill-street/T3374828,40,Studio, Oranjezicht
50,1 Bed Apartment in Oranjezicht,1750000, 8 vriende street,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/8-vriende-street/T3374846,45,1, Oranjezicht
51,1 Bed Apartment in Oranjezicht,1850000," 2 rodeen, 13 upper orange street",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/2-rodeen/13-upper-orange-street/T3179782,75,1, Oranjezicht
52,1 Bed Apartment in Oranjezicht,2495000," 102 the cedar, 6 firdale avenue",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/102-the-cedar/6-firdale-avenue/T2778764,41,1, Oranjezicht
53,2 Bed Apartment in Oranjezicht,3795000," 201 the aster, 8 firdale avenue",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/201-the-aster/8-firdale-avenue/T2642210,58,2, Oranjezicht
54,2 Bed Apartment in Oranjezicht,4095000," 305 the cedar, 6 firdale avenue",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/305-the-cedar/6-firdale-avenue/T2778782,63,2, Oranjezicht
55,Studio Apartment in Oranjezicht,1280000, 38 mill street,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/38-mill-street/T3386366,40,Studio, Oranjezicht
56,Studio apartment in Oranjezicht,1295000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3292026,40,Studio, Oranjezicht
57,Studio apartment in Oranjezicht,1295000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3143210,40,Studio, Oranjezicht
58,1 Bed Apartment in Oranjezicht,,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3450297,40,1, Oranjezicht
59,1 Bed Apartment in Oranjezicht,1399000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3321099,35,1, Oranjezicht
60,Studio Apartment in Oranjezicht,1450000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3219489,40,Studio, Oranjezicht
61,Studio Apartment in Oranjezicht,1450000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3213650,42,Studio, Oranjezicht
62,Studio apartment in Oranjezicht,1450000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3207598,40,Studio, Oranjezicht
63,Studio apartment in Oranjezicht,1500000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3248664,40,Studio, Oranjezicht
64,Studio Apartment in Oranjezicht,1500000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3248127,40,Studio, Oranjezicht
