,Listing,Price,Address,Link,Floor_space_m²,Number_bedrooms,Area
915,5 Bed House in Plumstead,2200000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/plumstead/T3179746,663,5, Plumstead
916,2 Bed Apartment in Kenilworth Upper,2239000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/kenilworth/T3277202,66,2, Kenilworth Upper
917,3 Bed House in Kenilworth,2250000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/kenilworth/T3463482,99,3, Kenilworth
918,3 Bed House in Plumstead,2250000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/plumstead/T3461007,119,3, Plumstead
919,2 Bed House in Harfield Village,2250000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/harfield-village/T3433214,172,2, Harfield Village
920,2 Bed Apartment in Rondebosch,2250000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/rondebosch/T3411869,96,2, Rondebosch
921,2 Bed House in Harfield Village,2250000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/harfield-village/T3376862,86,2, Harfield Village
922,2 Bed Apartment in Kenilworth Upper,2250000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/kenilworth/T3166760,124,2, Kenilworth Upper
923,3 Bed House in Wynberg,2275000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/wynberg/T3422218,115,3, Wynberg
924,2 Bed Apartment in Claremont Upper,2275000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/claremont/T3366240,86,2, Claremont Upper
925,2 Bed Apartment in Kenilworth Upper,2295000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/kenilworth/T3481862,57,2, Kenilworth Upper
926,4 Bed House in Southfield,2295000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/southfield/T3445108,145,4, Southfield
927,2 Bed Apartment in Wynberg Upper,2295000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/wynberg/T3423471,90,2, Wynberg Upper
928,3 Bed House in Plumstead,2295000, 17 waterbury,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/plumstead/17-waterbury/T3309651,200,3, Plumstead
929,5 Bed House in Heathfield,2295000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/heathfield/T3306648,148,5, Heathfield
930,8 Bed House in Lansdowne,2300000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/lansdowne/T3466132,495,8, Lansdowne
931,2 Bed Apartment in Claremont,2300000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/claremont/T3281647,89,2, Claremont
932,3 Bed House in Claremont,2300000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/claremont/T3227841,265,3, Claremont
933,2 Bed Apartment in Kenilworth Upper,2339000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/kenilworth/T3276966,68,2, Kenilworth Upper
934,2 Bed Apartment in Diep River,2340000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/diep-river/T3472749,87,2, Diep River
935,2 Bed Apartment in Diep River,2340000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/diep-river/T2926849,87,2, Diep River
936,2 Bed Apartment in Rondebosch,2345000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/rondebosch/T3462651,93,2, Rondebosch
937,3 Bed House in Crawford,,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/crawford/T3464558,254,3, Crawford
938,2 Bed House in Claremont,2350000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/claremont/T3439933,128,2, Claremont
939,3 Bed Apartment in Rondebosch,2350000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/rondebosch/T3427898,133,3, Rondebosch
940,3 Bed House in Heathfield,2350000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/heathfield/T3384681,142,3, Heathfield
941,3 Bed House in Kenwyn,2350000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/lansdowne/T3364552,160,3, Kenwyn
942,3 Bed Apartment in Kenilworth Upper,2350000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/kenilworth/T3237315,106,3, Kenilworth Upper
943,3 Bed House in Southfield,2350000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/southfield/T3191844,497,3, Southfield
944,2 Bed Apartment in Claremont Upper,2350000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/claremont/T3156857,86,2, Claremont Upper
945,2 Bed Apartment in Mowbray,2350000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/mowbray/T3078103,77,2, Mowbray
946,2 Bed Apartment in Claremont Upper,2380000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/claremont/T2313952,81,2, Claremont Upper
947,2 Bed House in Rosebank,2395000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/rosebank/T3450474,107,2, Rosebank
